...1,text,location,friends_count,followers_count,screen_name,retweet_count,favorite_count,description,label
0,Las Vegas stabbing suspect solicited employment from strangers 2 days prior to attack ,U.S.A.,261,22469096,FoxNews,0,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
1,Michigan Democrat calls for 'new blood' when asked about Biden running in 2024 ,U.S.A.,261,22469096,FoxNews,9,33,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
2,Prince Harry will 'have a hell of a fight on his hands' to keep tell-all book from coming out: royal expert ,U.S.A.,261,22469096,FoxNews,7,21,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
3,Selena Gomez shares 'My Mind and Me' documentary trailer: 'I'm grateful to be alive' ,U.S.A.,261,22469096,FoxNews,3,47,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
4,"Charlie Puth says Ellen DeGeneres' record label ""disappeared"" on him ",U.S.A.,261,22469096,FoxNews,3,34,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
5,Ilhan Omar equates women protesting Islamic law in Iran with abortion fight in US ,U.S.A.,261,22469096,FoxNews,22,88,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
6,Matt Rhule's firing from Panthers underscores difficulty college football head coaches have in NFL ,U.S.A.,261,22469096,FoxNews,7,57,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
7,Texas mayor calls out Kamala Harris for not visiting border during weekend trip ,U.S.A.,261,22469096,FoxNews,61,381,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
8,Whitney Houston producer Clive Davis is excited for new film: 'Nobody has touched the real person of Whitney' ,U.S.A.,261,22469096,FoxNews,11,58,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
9,Darrell Issa accuses Biden DOD of moving goalposts to hide scale of recruiting crisis ,U.S.A.,261,22469096,FoxNews,37,127,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
10,DeSantis campaign ad touts governor's support for his wife during her battle with breast cancer ,U.S.A.,261,22469096,FoxNews,36,226,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
11,Jamie Lee Curtis gets emotional while addressing Ye's anti-Semitic tweet: 'It's abhorrent behavior' ,U.S.A.,261,22469096,FoxNews,7,71,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
12,Former Democratic New York Govenor says he’s never felt more unsafe in NYC amid crime crisis ,U.S.A.,261,22469096,FoxNews,55,172,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
13,Las Vegas strip stabbing suspect was caught on LA news camera two days before attack: 'asking for help' ,U.S.A.,261,22469096,FoxNews,31,70,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
14,Panthers fire Matt Rhule after poor start to 2022 season ,U.S.A.,261,22469096,FoxNews,7,50,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
15,"Taiwan says war with China 'absolutely' not an option, but bolstering defences ",U.S.A.,261,22469096,FoxNews,23,104,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
16,Gowdy rips Democrats' devotion to 'soft-on-crime' policies in major US cities: 'Crime is a tax on the poor' ,U.S.A.,261,22469096,FoxNews,42,227,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
17,Spotlight on crime grows ahead of midterm elections following shooting outside home of Lee Zeldin ,U.S.A.,261,22469096,FoxNews,19,95,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",truth
