,text,location,friends_count,followers_count,screen_name,retweet_count,favorite_count,description
31,Paris' renowned shops and monuments will plunge into darkness early amid 'energy sobriety' push https://t.co/fMbMJ1RxOY,U.S.A.,261,22469096,FoxNews,22,120,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
32,Maryland mom's schoolbook sandwich recipe is a fun add to kids' lunchboxes https://t.co/VaIshoqIbe,U.S.A.,261,22469096,FoxNews,15,79,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
33,California school bans football team's pro-police flag 3 years after students were rescued from school shooter https://t.co/i0lQvXau2u,U.S.A.,261,22469096,FoxNews,124,279,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
34,"Mexican government hack reveals military sold arms, received escort from Cartels: report https://t.co/Hvi0j0Zm7e",U.S.A.,261,22469096,FoxNews,53,211,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
35,Ricky Gervais shuts down hosting the Golden Globes again in Twitter post: 'F--- that' https://t.co/6fyosYnVQ1,U.S.A.,261,22469096,FoxNews,37,436,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
36,Max Scherzer reacts to Mets' elimination: 'It’s a kick in the b---s' https://t.co/3tMZNJGEm2,U.S.A.,261,22469096,FoxNews,5,61,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
37,WSJ editorial slams the United Nations Human Rights Council for refusing to discuss China’s Uyghur genocide https://t.co/inv3ioIBz2,U.S.A.,261,22469096,FoxNews,59,225,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
38,This is the most popular used car color in the USA https://t.co/BeIgTmW7Qf,U.S.A.,261,22469096,FoxNews,10,81,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
39,World Mental Health Day: 'It's OK to ask for support or help' https://t.co/KtLNxJjqgo,U.S.A.,261,22469096,FoxNews,42,173,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
40,"William Shatner reflects on fallout with ‘Star Trek’ pal Leonard Nimoy, historic kiss with Nichelle Nichols https://t.co/O7wBwuCCLX",U.S.A.,261,22469096,FoxNews,18,107,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
41,"Newsom campaign places pro-abortion billboard in Austin, Texas https://t.co/FHNqPnLo77",U.S.A.,261,22469096,FoxNews,50,187,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
42,Breast cancer and mammograms: 3 key questions women of all ages should ask before their scans https://t.co/jnBL0jZQmi,U.S.A.,261,22469096,FoxNews,18,54,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
43,"On this day in history, Oct. 10, 1845, US Naval Academy founded after planned mutiny shocks nation https://t.co/wmgtWnoEII",U.S.A.,261,22469096,FoxNews,22,121,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
44,Fetterman's string of misfires after stroke fuel questions about fitness: 'Kicking balls in the authority' https://t.co/CSpy5epvQP,U.S.A.,261,22469096,FoxNews,65,191,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
45,"Pets quiz! How well do you know these surprising facts about dogs, cats, birds, rabbits and more? https://t.co/FaprL9D4bx",U.S.A.,261,22469096,FoxNews,12,57,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
46,Biden's equity-obsessed education secretary dodging academic priorities amid 'catastrophic' reading scores https://t.co/E5SJKR7aJ9,U.S.A.,261,22469096,FoxNews,100,266,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
47,"OPINION: America’s energy chaos is Biden’s fault. As we pay at the pump, will Democrats pay in midterms? https://t.co/733URNm5bt",U.S.A.,261,22469096,FoxNews,505,2575,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
48,"FOX NEWS FIRST: Fetterman's fitness brought into question, Ukraine cities rocked by missile strikes and more top headlines

https://t.co/cuOG5Upchc",U.S.A.,261,22469096,FoxNews,20,128,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
49,Religious Californians voice opposition to Proposition 1 making abortion a right in state Constitution https://t.co/MjhfDWyikD,U.S.A.,261,22469096,FoxNews,47,198,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
0,Vladimir Putin threatens more Russian strikes after missiles hit cities across Ukraine in most widespread wave of attacks for months https://t.co/armAVPdKHX,"London, UK",3,51299198,BBCBreaking,370,1330,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
1,Criminal barristers in England and Wales vote to end long-running strike action after government offers new pay deal https://t.co/gFfkh9aE5O,"London, UK",3,51299198,BBCBreaking,123,597,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
2,"Multiple large explosions hit Kyiv, as BBC witnesses strikes on Ukraine's capital for first time in many months https://t.co/IeJnjGCetB","London, UK",3,51299198,BBCBreaking,921,1672,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
3,"Russian President Vladimir Putin accuses Ukraine of attacking the Crimea bridge, saying it was an ""act of terrorism"" https://t.co/wCtsvtzWFO","London, UK",3,51299198,BBCBreaking,635,2755,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
4,"Five-year-old girl and her father among 10 people named as those killed in Donegal petrol station explosion
https://t.co/wTgm2p3GkY","London, UK",3,51299198,BBCBreaking,137,748,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
5,"Child and two teenagers among 10 people killed in petrol station explosion in Donegal, in Irish Republic https://t.co/dSIosqpOoL","London, UK",3,51299198,BBCBreaking,194,648,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
6,Seven people now confirmed dead after Friday's explosion at petrol station in County Donegal in the Republic of Ireland https://t.co/zb2K7WEBPp,"London, UK",3,51299198,BBCBreaking,244,765,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
7,A large fire has broken out on the only bridge from occupied Crimea to Russia - the cause is still unclear https://t.co/jDP1pDtA27,"London, UK",3,51299198,BBCBreaking,603,2630,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
8,"Three people have died after an explosion at a petrol station in County Donegal in the Irish Republic, police say https://t.co/MD5DB96IU3","London, UK",3,51299198,BBCBreaking,193,673,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
9,"Liverpool chosen to host the first Eurovision Song Contest to be held in the UK for 25 years

https://t.co/JsvWl85A0q https://t.co/a0kjpZ1yap","London, UK",3,51299198,BBCBreaking,357,1796,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
10,"Liverpool will host the Eurovision Song Contest next year, beating Glasgow to the honour

Latest https://t.co/foOIfAZ8y9","London, UK",3,51299198,BBCBreaking,560,4008,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
11,"Russia is preparing its people for the possible use of nuclear weapons but is not ready to use them yet, Ukraine's President Zelensky tells the BBC https://t.co/1c58pwHPk3","London, UK",3,51299198,BBCBreaking,686,2521,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
12,"UK trade minister Conor Burns dismissed from government after a complaint of serious misconduct, No 10 says https://t.co/VHCNHVdyhi","London, UK",3,51299198,BBCBreaking,527,1365,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
13,"Man dies after being shot by officers responding to reports of knifeman in police station car park in Derby, UK https://t.co/q88QGSjGmH","London, UK",3,51299198,BBCBreaking,118,546,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
14,"Norwegian Nobel Committee Chair Berit Reiss-Andersen says the award honours “three outstanding champions of human rights, democracy and peaceful co-existence” in Russia, Ukraine and Belarus https://t.co/ieDrHyhXWJ https://t.co/vgBdgJOKQS","London, UK",3,51299198,BBCBreaking,201,691,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
15,"Nobel Peace Prize awarded to Belarusian campaigner Ales Bialiatski, as well as a Russian and a Ukrainian human rights group https://t.co/ieDrHyhXWJ","London, UK",3,51299198,BBCBreaking,331,1245,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
16,"Ex-Met Police officer arrested after a BBC investigation revealed he had been posting racist content on WhatsApp

https://t.co/xjFT5ShFMV","London, UK",3,51299198,BBCBreaking,210,745,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
17,"Homes in the UK face three-hour power cuts this winter in the worst case scenario if gas supplies run low, National Grid says https://t.co/Ya22Ejr1Fq","London, UK",3,51299198,BBCBreaking,571,1208,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
18,Children are among at least 28 people killed in a gun and knife attack at a pre-school in Thailand https://t.co/LfUqp59Xuu,"London, UK",3,51299198,BBCBreaking,6649,4979,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
19,Three more loud explosions hit Ukrainian city Zaporizhzhia hours after missiles struck apartment building in centre of town https://t.co/L5I1STZqfC,"London, UK",3,51299198,BBCBreaking,151,593,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
20,"Alec Baldwin reaches settlement over death of Halyna Hutchins, shot on set of film Rust last year https://t.co/AiLHJGWQpl","London, UK",3,51299198,BBCBreaking,148,536,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
21,Greenpeace protesters interrupt Liz Truss' first Conservative Party conference speech as UK prime minister and are removed by security https://t.co/etmJsRrRwU https://t.co/ICY302jpmi,"London, UK",3,51299198,BBCBreaking,587,3022,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
22,Liz Truss to give first speech as UK prime minister to Conservative Party conference after bruising few days https://t.co/PlPQMikvh8,"London, UK",3,51299198,BBCBreaking,97,597,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
23,"Elon Musk's multi-billion dollar deal to buy Twitter is back on, according to documents filed with US authorities https://t.co/P4daBaeQs8","London, UK",3,51299198,BBCBreaking,374,1176,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
24,"UK Prime Minister Liz Truss refuses to commit to Boris Johnson's pledge to raise benefits in line with inflation but tells BBC she will ""support the most vulnerable"" https://t.co/Ouj1Bs1AIM","London, UK",3,51299198,BBCBreaking,187,871,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
25,"Discovery of the genetic code of Neanderthals, a task previously thought impossible, wins Swedish scientist Svante Paabo a Nobel prize https://t.co/S0gjqbY6NM","London, UK",3,51299198,BBCBreaking,685,3266,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
26,"""We get it, and we have listened""  

Abolition of the 45p tax rate will not go ahead, confirms UK Chancellor Kwasi Kwarteng

https://t.co/MDcbxLBDE0","London, UK",3,51299198,BBCBreaking,455,1603,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
27,Lula ahead of Jair Bolsonaro after first round of Brazil’s presidential election - they face 30 October run-off vote https://t.co/4hbNYf5mp9,"London, UK",3,51299198,BBCBreaking,222,1064,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
28,At least 174 people have died in stampede at Indonesian football match sparked after police tear-gassed fans invading the pitch https://t.co/EkEQWCcds4,"London, UK",3,51299198,BBCBreaking,2514,5334,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
29,"A 34-year-old man charged with murder of nine-year-old Olivia Pratt-Korbel, who was shot in her home in Liverpool https://t.co/Wwi1j49MPt","London, UK",3,51299198,BBCBreaking,266,1654,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
30,"Russian troops withdraw from strategic town of Lyman where Ukraine's forces threatened to encircle them, Russia's defence ministry says https://t.co/Ha78RWat3b","London, UK",3,51299198,BBCBreaking,434,2532,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
31,"Prince William says online safety for young people should be ""prerequisite, not an afterthought"" after inquest into 14-year-old Molly Russell's death https://t.co/1s8SaISO36","London, UK",3,51299198,BBCBreaking,424,3913,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
32,"Ukraine's President Zelensky applies for fast-track membership of Nato, after Russia's illegal annexation of four regions of Ukraine https://t.co/H91qoIaMYd","London, UK",3,51299198,BBCBreaking,977,5297,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
33,"Police resume search for Keith Bennett, victim of Moors murderers, after suspected human remains found https://t.co/OK3Hb4icrP","London, UK",3,51299198,BBCBreaking,298,1401,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
34,"""There are four new regions of Russia""

Russian President Vladimir Putin speaks at Kremlin ceremony to annex parts of Ukraine

https://t.co/JAWs3jN51N","London, UK",3,51299198,BBCBreaking,286,805,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
35,"UK schoolgirl Molly Russell viewed online content that contributed ""in a more than minimal way"" to the 14-year-old's death, coroner says https://t.co/jB3PLlpyGm","London, UK",3,51299198,BBCBreaking,129,562,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
36,"At least 19 people killed and dozens wounded in suicide bombing at Kabul education centre, Afghan police say https://t.co/ghg4JNAtbG","London, UK",3,51299198,BBCBreaking,368,912,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
37,"Man, 34, arrested on suspicion of murder of nine-year-old Olivia Pratt-Korbel, shot in her home in Liverpool https://t.co/9CqvzrekK9","London, UK",3,51299198,BBCBreaking,220,1531,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
38,"Hurricane Ian may have caused ""substantial loss of life"" in Florida, US President Biden says, as storm heads for South Carolina 

Follow the latest https://t.co/MzZLaUaxuA","London, UK",3,51299198,BBCBreaking,196,629,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
39,Queen's cause of death given as “old age” in extracts of death certificate just released https://t.co/DvYkkccR3C,"London, UK",3,51299198,BBCBreaking,553,2606,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
40,"Russia says it will formally annex four more parts of Ukraine in ceremony on Friday, just days after unrecognised referendums

https://t.co/UJesI7F530","London, UK",3,51299198,BBCBreaking,657,1383,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
41,UK Prime Minister Liz Truss says she had to take urgent action to get the economy growing ​ https://t.co/MBD2dPSz52,"London, UK",3,51299198,BBCBreaking,202,1014,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
42,"Hurricane Ian makes landfall in Florida, with residents urged to shelter and hundreds of thousands left without power https://t.co/XEQMpNnvwi","London, UK",3,51299198,BBCBreaking,182,779,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
43,"Secret filming by BBC Panorama finds ""toxic culture"" of abuse of patients by staff in an NHS mental health hospital

https://t.co/B6pmsuBY3c","London, UK",3,51299198,BBCBreaking,532,1380,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
44,Bank of England steps in to calm markets by buying UK government bonds https://t.co/mVW3MRopdh,"London, UK",3,51299198,BBCBreaking,633,1841,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
45,"A Labour government would create a publicly-owned green energy company to turn UK into clean energy ""superpower"", leader Sir Keir Starmer says https://t.co/GMl2K3uwWA","London, UK",3,51299198,BBCBreaking,317,2455,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
46,"Either Glasgow or Liverpool will host next year's Eurovision Song Contest, after the shortlist of UK cities in contention was cut to just two https://t.co/xPlCKn9YGL","London, UK",3,51299198,BBCBreaking,254,1486,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
47,Direct hit! Nasa smashes spacecraft into asteroid in controlled experiment 7 million miles away https://t.co/FvR9zQcetG,"London, UK",3,51299198,BBCBreaking,519,2379,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
